Date,Open,High,Low,Close
01-Jan-01,1263.5,1276.15,1250.65,1254.3
02-Jan-01,1254.25,1279.6,1248.55,1271.8
03-Jan-01,1271.8,1293.55,1263.95,1291.25
04-Jan-01,1291.3,1331.35,1291.3,1307.65
05-Jan-01,1307.55,1330.3,1306.25,1327.25
08-Jan-01,1327.35,1334.2,1303.35,1309.25
09-Jan-01,1309.2,1323.4,1304.9,1311.65
10-Jan-01,1311.65,1324.35,1285.3,1287.3
11-Jan-01,1287.5,1296.75,1275.95,1280.4
12-Jan-01,1280.45,1298.85,1279.4,1286.75
15-Jan-01,1286.85,1295.2,1277.85,1286.75
16-Jan-01,1287,1302.6,1279.85,1293.05
17-Jan-01,1299.4,1312.35,1295.3,1297.9
18-Jan-01,1297.95,1309.95,1297.95,1305.95
19-Jan-01,1306,1333.5,1306,1329.1
22-Jan-01,1329.3,1351.85,1329.3,1348
23-Jan-01,1347.95,1362.05,1346.5,1355.2
24-Jan-01,1355.35,1371.1,1355.35,1365.95
25-Jan-01,1366.05,1374.2,1353.5,1370.1
29-Jan-01,1368.55,1368.55,1312.1,1342.05
30-Jan-01,1342.1,1382.55,1342.05,1379.7
31-Jan-01,1385.85,1396.05,1369,1371.7
01-Feb-01,1371.5,1373.5,1340.95,1359.15
02-Feb-01,1359.1,1384.9,1355.3,1378.85
05-Feb-01,1378.8,1392.15,1373.45,1382.6
06-Feb-01,1382.7,1395.4,1382.7,1387.1
07-Feb-01,1387.3,1391.85,1368.05,1370.8
08-Feb-01,1370.65,1396.8,1365.05,1395.5
09-Feb-01,1395.55,1416.3,1395.55,1405.7
12-Feb-01,1405.7,1416.45,1397.6,1402.2
13-Feb-01,1402.2,1412.7,1386.65,1391.2
14-Feb-01,1393.15,1396.35,1380.65,1393.35
15-Feb-01,1393.35,1421,1393.35,1416.7
16-Feb-01,1415.85,1422.95,1376.15,1381.35
19-Feb-01,1381.4,1392.05,1369.45,1384.8
20-Feb-01,1384.85,1392.8,1380.4,1383.85
21-Feb-01,1383.9,1389.55,1364.25,1370.1
22-Feb-01,1370.05,1370.05,1335.65,1355.1
23-Feb-01,1355.1,1362.8,1314.1,1320.45
26-Feb-01,1320.9,1325.2,1299.05,1312.4
27-Feb-01,1312.45,1324,1281.9,1295.55
28-Feb-01,1295.3,1362.25,1294.6,1351.4
01-Mar-01,1351.75,1399.55,1345.05,1358.05
02-Mar-01,1360.25,1386.75,1301.8,1306.35
05-Mar-01,1304.85,1316.45,1259.1,1271.45
07-Mar-01,1272.8,1311.1,1249.45,1290.5
08-Mar-01,1290.85,1307.95,1279.3,1292.85
09-Mar-01,1292.7,1292.7,1219.35,1254.75
12-Mar-01,1253.25,1253.25,1193.95,1197.95
13-Mar-01,1197.85,1201.15,1098.75,1124.7
14-Mar-01,1125.15,1200.25,1114.6,1194.2
15-Mar-01,1191.6,1219.7,1170.7,1217.15
16-Mar-01,1216.9,1233.4,1179.6,1193.55
19-Mar-01,1192.85,1201.7,1173.15,1186.7
